Country,Year,Military_Expenditure_USD,Military_Expenditure_pct_Govt,Military_Expenditure_pct_GDP,GDP_USD,GDP_per_Capita_USD,Political_Stability_Index,Military_Expenditure_missing,Political_Stability_missing,Military_Expenditure_pct_Govt_missing,Country_clean,Continent,Military_Expenditure_YoY,Military_Expenditure_YoY_Clipped,Score_Expenditure,Score_Growth,Score_pctGovt,Score_Politics,Total_Score
Kuwait,2024,7555.304448220574,0.09676210656201958,4.181839484947074e-07,1806694033909.385,,0.0,0,1,0,Kuwait,Asia,-2.575456672067533,-2.575456672067533,0.02379150340239053,0.0001583954362330428,0.1702949866712081,0.5011652265385944,0.09373963997992718
,1992,92.55227869576586,0.09544877189898007,6.751311540758998e-08,137087850467.29,,0.0,0,1,0,Kyrgyzstan,Asia,,0.0,0.0002912865167603618,,0.16798360345639768,0.5011652265385944,
,1993,52.54814227209557,0.07068310189144603,1.6811701093777277e-08,312568858909.5,,0.0,0,1,0,Kyrgyzstan,Asia,-43.2232863279037,-43.2232863279037,0.00016531343592864894,6.962965914447233e-05,0.12439764203323081,0.5011652265385944,0.07508306533262041
,1994,70.950811801419,0.07011379800853484,2.3235292004214015e-08,305357951983.35,,0.0,0,1,0,Kyrgyzstan,Asia,35.02059013624867,35.02059013624867,0.00022326346768499167,0.0002404968015126845,0.12339570438845571,0.5011652265385944,0.07495711795907839
,1995,88.84274390021484,0.09131594439901881,6.627065545363085e-08,134060457516.34,,0.0,0,1,0,Kyrgyzstan,Asia,25.217374748118115,25.217374748118115,0.00027960518656742957,0.00021908876966296676,0.16071009702886652,0.5011652265385944,0.08243611076515861
,1996,84.31433393995779,0.1044413741598207,1.1571470584493455e-08,728639746558.615,,-0.17433962225914,0,0,0,Kyrgyzstan,Asia,-5.097107272309387,-5.097107272309387,0.00026534521735021985,0.0001528887147925245,0.18380999600364742,0.41376962072223533,0.07829096597433086
,1997,93.29349209669049,0.09992895260018834,1.3195999998930991e-08,706983116885.785,,0.0,0,1,0,Kyrgyzstan,Asia,10.649622356178433,10.649622356178433,0.00029362059878326426,0.0001872760536470517,0.17586842882765863,0.5011652265385944,0.08546383947499858
,1998,80.639538039692,0.07424558260727954,5.82311416506062e-09,1384818084514.62,,-0.166477471590042,0,0,0,Kyrgyzstan,Asia,-13.563597816537708,-13.563597816537708,0.0002537732799865047,0.000134399791306703,0.1306673753779721,0.41771087866372597,0.06804639219135364
,1999,84.47416828267359,0.0748485732258249,7.65273256283496e-09,1103843203575.64,,0.0,0,1,0,Kyrgyzstan,Asia,4.755273078442146,4.755273078442146,0.00026584853591611466,0.00017440411193454767,0.13172859947691448,0.5011652265385944,0.07662090319718914
,2000,102.3047399533396,0.09527982580514481,1.1706926928503858e-08,873882109097.73,,-0.182534769177437,0,0,0,Kyrgyzstan,Asia,21.107720896404757,21.107720896404757,0.0003219970307256516,0.00021011420396533682,0.16768626936746497,0.4096614333784883,0.0746952302848217
